Date ,County ,Unecomployment Rate,Unempolyment Number ,CalFresh Households,CalFresh Persons ,Warn Employees,Under $75000
2008,Alameda ,6.208333333,46983.33333,,,,
2008,Alpine ,10.93333333,48.33333333,,,,
2008,Amador ,7.7,1369.166667,,,,
2008,Butte ,8.458333333,8700,,,,
2008,Calaveras ,8.691666667,1790.833333,,,,
2008,Colusa ,13.93333333,1453.333333,,,,
2008,Contra Costa ,6.225,32575,,,,
2008,Del Norte ,8.825,1001.666667,,,,
2008,El Dorado ,6.991666667,6325,,,,
2008,Fresno ,10.56666667,45358.33333,,,,
2008,Glenn ,10.5,1278.333333,,,,
2008,Humboldt ,7.283333333,4391.666667,,,,
2008,Imperial ,22.41666667,16333.33333,,,,
2008,Inyo ,6.616666667,601.6666667,,,,
2008,Kern ,9.841666667,35333.33333,,,,
2008,Kings ,10.59166667,6225,,,,
2008,Lake ,10.66666667,2615,,,,
2008,Lassen ,9.583333333,1228.333333,,,,
2008,Los Angeles ,7.583333333,373841.6667,,,,
2008,Madera ,9.491666667,6166.666667,,,,
2008,Marin ,4.716666667,6233.333333,,,,
2008,Mariposa ,7.6,700.8333333,,,,
2008,Mendocino ,6.908333333,2984.166667,,,,
2008,Merced ,12.63333333,12908.33333,,,,
2008,Modoc ,9.766666667,383.3333333,,,,
2008,Mono ,5.991666667,509.1666667,,,,
2008,Monterey ,8.541666667,17941.66667,,,,
2008,Napa ,5.125,3883.333333,,,,
2008,Nevada ,6.6,3319.166667,,,,
2008,Orange ,5.308333333,85833.33333,,,,
2008,Placer ,6.491666667,11483.33333,,,,
2008,Plumas ,10.70833333,1040,,,,
2008,Riverside ,8.575,78208.33333,,,,
2008,Sacramento ,7.233333333,49116.66667,,,,
2008,San Benito ,9.658333333,2391.666667,,,,
2008,San Bernardino ,8.033333333,69266.66667,,,,
2008,San Diego ,6.016666667,93241.66667,,,,
2008,San Francisco ,5.25,24008.33333,,,,
2008,San Joaquin ,10.43333333,30583.33333,,,,
2008,San Luis Obispo ,5.758333333,7891.666667,,,,
2008,San Mateo ,4.883333333,18191.66667,,,,
2008,Santa Barbara ,5.466666667,11941.66667,,,,
2008,Santa Clara ,6.008333333,52283.33333,,,,
2008,Santa Cruz ,7.391666667,10783.33333,,,,
2008,Shasta ,10.06666667,8316.666667,,,,
2008,Sierra ,10.675,168.3333333,,,,
2008,Siskiyou ,10.24166667,1962.5,,,,
2008,Solano ,6.891666667,14566.66667,,,,
2008,Sonoma ,5.766666667,14983.33333,,,,
2008,Stanislaus ,11.1,25691.66667,,,,
2008,Sutter ,12.38333333,5083.333333,,,,
2008,Tehama ,9.241666667,2322.5,,,,
2008,Trinity ,12.85,623.3333333,,,,
2008,Tulare ,10.83333333,21558.33333,,,,
2008,Tuolumne ,8.025,2062.5,,,,
2008,Ventura ,6.316666667,27000,,,,
2008,Yolo ,7.408333333,7283.333333,,,,
2008,Yuba ,11.93333333,3300,,,,
2009,Alameda ,10.25833333,78050,,,,
2009,Alpine ,14.725,64.16666667,,,,
2009,Amador ,11.425,2035.833333,,,,
2009,Butte ,12.28333333,12758.33333,,,,
2009,Calaveras ,13.6,2764.166667,,,,
2009,Colusa ,17.68333333,2027.5,,,,
2009,Contra Costa ,9.966666667,52225,,,,
2009,Del Norte ,11.78333333,1377.5,,,,
2009,El Dorado ,10.85833333,9950,,,,
2009,Fresno ,14.69166667,63716.66667,,,,
2009,Glenn ,14.16666667,1778.333333,,,,
2009,Humboldt ,10.69166667,6500,,,,
2009,Imperial ,27.325,20675,,,,
2009,Inyo ,8.966666667,840.8333333,,,,
2009,Kern ,14.075,51016.66667,,,,
2009,Kings ,14.25833333,8608.333333,,,,
2009,Lake ,15.01666667,3807.5,,,,
2009,Lassen ,12.35,1670.833333,,,,
2009,Los Angeles ,11.6,569516.6667,,,,
2009,Madera ,13.38333333,8891.666667,,,,
2009,Marin ,7.516666667,9925,,,,
2009,Mariposa ,10.375,966.6666667,,,,
2009,Mendocino ,10.05,4350.833333,,,,
2009,Merced ,16.61666667,17508.33333,,,,
2009,Modoc ,12.21666667,490,,,,
2009,Mono ,8.866666667,766.6666667,,,,
2009,Monterey ,11.6,24783.33333,,,,
2009,Napa ,8.358333333,6325,,,,
2009,Nevada ,10.26666667,5175,,,,
2009,Orange ,8.65,137566.6667,,,,
2009,Placer ,10.16666667,18308.33333,,,,
2009,Plumas ,15.49166667,1540.833333,,,,
2009,Riverside ,13.10833333,119975,,,,
2009,Sacramento ,11.01666667,75025,,,,
2009,San Benito ,13.925,3475,,,,
2009,San Bernardino ,12.65,108541.6667,,,,
2009,San Diego ,9.383333333,146000,,,,
2009,San Francisco ,8.683333333,39900,,,,
2009,San Joaquin ,14.94166667,44500,,,,
2009,San Luis Obispo ,8.816666667,12008.33333,,,,
2009,San Mateo ,8.191666667,30716.66667,,,,
2009,Santa Barbara ,8.241666667,18125,,,,
2009,Santa Clara ,10.59166667,92591.66667,,,,
2009,Santa Cruz ,11.09166667,16358.33333,,,,
2009,Shasta ,14.35,12041.66667,,,,
2009,Sierra ,14.95,236.6666667,,,,
2009,Siskiyou ,14.26666667,2795.833333,,,,
2009,Solano ,10.39166667,22283.33333,,,,
2009,Sonoma ,9.416666667,24125,,,,
2009,Stanislaus ,15.51666667,36350,,,,
2009,Sutter ,16.46666667,6883.333333,,,,
2009,Tehama ,13.63333333,3458.333333,,,,
2009,Trinity ,16.84166667,837.5,,,,
2009,Tulare ,14.86666667,30175,,,,
2009,Tuolumne ,12.18333333,3130.833333,,,,
2009,Ventura ,9.641666667,41475,,,,
2009,Yolo ,11.01666667,10891.66667,,,,
2009,Yuba ,16.84166667,4775,,,,
2010,Alameda ,10.91666667,85416.66667,,,,283690
2010,Alpine ,13.225,70,,,,260
2010,Amador ,14.05833333,2182.5,,,,9579
2010,Butte ,13.9,14241.66667,,,,63146
2010,Calaveras ,14.45,3035,,,,11972
2010,Colusa ,20.875,2400.833333,,,,5000
2010,Contra Costa ,10.95833333,57641.66667,,,,176826
2010,Del Norte ,13.19166667,1442.5,,,,7840
2010,El Dorado ,12.20833333,11133.33333,,,,36598
2010,Fresno ,16.70833333,73375,,,,200379
2010,Glenn ,15.43333333,2039.166667,,,,7276
2010,Humboldt ,10.58333333,6966.666667,,,,41803
2010,Imperial ,28.81666667,22700,,,,35878
2010,Inyo ,9.708333333,947.5,,,,5658
2010,Kern ,15.66666667,58158.33333,,,,174746
2010,Kings ,16.125,9583.333333,,,,29146
2010,Lake ,15.09166667,4503.333333,,,,19944
2010,Lassen ,14.05,1699.166667,,,,7034
2010,Los Angeles ,12.50833333,615083.3333,,,,2028493
2010,Madera ,16.64166667,10250,,,,30489
2010,Marin ,7.85,10441.66667,,,,44291
2010,Mariposa ,13.03333333,1126.666667,,,,5293
2010,Mendocino ,11.60833333,4830,,,,25809
2010,Merced ,17.95833333,20375,,,,54912
2010,Modoc ,15.225,580,,,,3144
2010,Mono ,10.25,908.3333333,,,,3422
2010,Monterey ,12.85,27458.33333,,,,76448
2010,Napa ,10.29166667,7241.666667,,,,26814
2010,Nevada ,11.73333333,5736.666667,,,,26147
2010,Orange ,9.741666667,149741.6667,,,,496223
2010,Placer ,11.6,20108.33333,,,,65012
2010,Plumas ,18.35833333,1670,,,,7615
2010,Riverside ,13.84166667,135150,,,,415230
2010,Sacramento ,12.61666667,86133.33333,,,,323273
2010,San Benito ,15.09166667,4216.666667,,,,9188
2010,San Bernardino ,13.525,120391.6667,,,,381973
2010,San Diego ,10.75833333,162933.3333,,,,612474
2010,San Francisco ,8.916666667,43325,,,,174444
2010,San Joaquin ,16.51666667,51441.66667,,,,138316
2010,San Luis Obispo ,10.05833333,13441.66667,,,,64330
2010,San Mateo ,8.366666667,32833.33333,,,,111645
2010,Santa Barbara ,9.708333333,20583.33333,,,,86170
2010,Santa Clara ,10.41666667,96416.66667,,,,258651
2010,Santa Cruz ,13.31666667,18841.66667,,,,52371
2010,Shasta ,16.78333333,13175,,,,51413
2010,Sierra ,15.425,248.3333333,,,,994
2010,Siskiyou ,16.84166667,3304.166667,,,,16337
2010,Solano ,12.575,25441.66667,,,,76684
2010,Sonoma ,10.85,26516.66667,,,,106658
2010,Stanislaus ,16.9,41091.66667,,,,111851
2010,Sutter ,18.38333333,8441.666667,,,,21652
2010,Tehama ,15.41666667,3960.833333,,,,18777
2010,Trinity ,17.04166667,922.5,,,,4752
2010,Tulare ,17.20833333,34908.33333,,,,93303
2010,Tuolumne ,15.23333333,3445,,,,15754
2010,Ventura ,10.84166667,46583.33333,,,,131520
2010,Yolo ,12.1,12341.66667,,,,42851
2010,Yuba ,17.75833333,5166.666667,,,,17252
2011,Alameda ,10.08333333,79366.66667,,,,281305
2011,Alpine ,13.125,76.66666667,,,,227
2011,Amador ,13.61666667,2055.833333,,,,8907
2011,Butte ,13.68333333,13758.33333,,,,63108
2011,Calaveras ,14.01666667,2899.166667,,,,11989
2011,Colusa ,21.45833333,2415.833333,,,,4902
2011,Contra Costa ,10.29166667,54541.66667,,,,177376
2011,Del Norte ,13.30833333,1448.333333,,,,7702
2011,El Dorado ,11.7,10508.33333,,,,37080
2011,Fresno ,16.53333333,73283.33333,,,,199693
2011,Glenn ,15.51666667,2044.166667,,,,7057
2011,Humboldt ,10.56666667,6875,,,,21515
2011,Imperial ,28.85,22925,,,,35993
2011,Inyo ,9.708333333,940.8333333,,,,5319
2011,Kern ,14.83333333,56641.66667,,,,175080
2011,Kings ,15.90833333,9400,,,,28695
2011,Lake ,14.53333333,4301.666667,,,,19760
2011,Lassen ,13.54166667,1595.833333,,,,6820
2011,Los Angeles ,12.18333333,600533.3333,,,,2003794
2011,Madera ,16.18333333,10016.66667,,,,30106
2011,Marin ,7.258333333,9783.333333,,,,44350
2011,Mariposa ,13.25,1140.833333,,,,5045
2011,Mendocino ,11.4,4667.5,,,,25351
2011,Merced ,17.65,20233.33333,,,,54839
2011,Modoc ,16.01666667,577.5,,,,3019
2011,Mono ,10.13333333,888.3333333,,,,3333
2011,Monterey ,12.76666667,27400,,,,76433
2011,Napa ,9.775,6925,,,,27020
2011,Nevada ,11.075,5431.666667,,,,25815
2011,Orange ,9.041666667,139966.6667,,,,488798
2011,Placer ,10.825,18816.66667,,,,65676
2011,Plumas ,17.65833333,1564.166667,,,,6924
2011,Riverside ,13.16666667,128875,,,,415545
2011,Sacramento ,12.10833333,82308.33333,,,,323701
2011,San Benito ,14.51666667,4116.666667,,,,9331
2011,San Bernardino ,12.86666667,114366.6667,,,,381931
2011,San Diego ,10.30833333,157333.3333,,,,607894
2011,San Francisco ,8.05,39908.33333,,,,172758
2011,San Joaquin ,16.18333333,50366.66667,,,,138066
2011,San Luis Obispo ,9.575,12866.66667,,,,62567
2011,San Mateo ,7.516666667,30041.66667,,,,110274
2011,Santa Barbara ,9.391666667,19983.33333,,,,83712
2011,Santa Clara ,9.3,87425,,,,253680
2011,Santa Cruz ,13.08333333,18458.33333,,,,51928
2011,Shasta ,15.94166667,12275,,,,51446
2011,Sierra ,14.9,239.1666667,,,,899
2011,Siskiyou ,16.975,3300.833333,,,,15833
2011,Solano ,12.16666667,24625,,,,75335
2011,Sonoma ,10.25,25208.33333,,,,105818
2011,Stanislaus ,16.5,39966.66667,,,,112428
2011,Sutter ,18.16666667,8333.333333,,,,21875
2011,Tehama ,14.98333333,3829.166667,,,,18884
2011,Trinity ,16.73333333,896.6666667,,,,4571
2011,Tulare ,17.1,34783.33333,,,,94204
2011,Tuolumne ,14.45,3284.166667,,,,15608
2011,Ventura ,10.25,44208.33333,,,,130018
2011,Yolo ,11.76666667,12000,,,,42540
2011,Yuba ,16.96666667,4900,,,,17465
2012,Alameda ,8.7,69358.33333,,,,280562
2012,Alpine ,11.40833333,61.66666667,,,,230
2012,Amador ,12.25833333,1799.166667,,,,9416
2012,Butte ,12.14166667,12291.66667,,,,63001
2012,Calaveras ,12.35833333,2495.833333,,,,11786
2012,Colusa ,20.91666667,2337.5,,,,4898
2012,Contra Costa ,8.941666667,47891.66667,,,,179483
2012,Del Norte ,13.53333333,1421.666667,,,,7385
2012,El Dorado ,10.225,9100,,,,36073
2012,Fresno ,15.14166667,66575,,,,202805
2012,Glenn ,14.2,1866.666667,,,,7143
2012,Humboldt ,9.583333333,6166.666667,,,,40645
2012,Imperial ,27.35,21683.33333,,,,35202
2012,Inyo ,9.075,866.6666667,,,,5444
2012,Kern ,13.16666667,51533.33333,,,,176643
2012,Kings ,14.89166667,8758.333333,,,,28924
2012,Lake ,12.79166667,3772.5,,,,20221
2012,Lassen ,12.475,1428.333333,,,,6803
2012,Los Angeles ,10.91666667,536866.6667,,,,1999053
2012,Madera ,14.45,9025,,,,30534
2012,Marin ,6.291666667,8600,,,,43835
2012,Mariposa ,12.35,1021.666667,,,,4603
2012,Mendocino ,10.04166667,4111.666667,,,,25698
2012,Merced ,16.34166667,18783.33333,,,,55063
2012,Modoc ,14.43333333,520,,,,3014
2012,Mono ,10.34166667,868.3333333,,,,3053
2012,Monterey ,11.66666667,25200,,,,76084
2012,Napa ,8.45,6075,,,,26413
2012,Nevada ,9.741666667,4715,,,,25928
2012,Orange ,7.883333333,122858.3333,,,,491437
2012,Placer ,9.358333333,16375,,,,67299
2012,Plumas ,16.23333333,1371.666667,,,,6754
2012,Riverside ,11.63333333,114833.3333,,,,422265
2012,Sacramento ,10.5,71591.66667,,,,326306
2012,San Benito ,13.05833333,3741.666667,,,,9526
2012,San Bernardino ,11.39166667,101791.6667,,,,387388
2012,San Diego ,9.108333333,140566.6667,,,,612606
2012,San Francisco ,6.783333333,34508.33333,,,,172433
2012,San Joaquin ,14.35,44758.33333,,,,138210
2012,San Luis Obispo ,8.258333333,11341.66667,,,,61405
2012,San Mateo ,6.416666667,26375,,,,110921
2012,Santa Barbara ,8.375,18091.66667,,,,82683
2012,Santa Clara ,7.858333333,75283.33333,,,,253318
2012,Santa Cruz ,11.84166667,16808.33333,,,,51497
2012,Shasta ,14.175,10775,,,,50748
2012,Sierra ,14.40833333,210,,,,989
2012,Siskiyou ,15.61666667,2945,,,,15661
2012,Solano ,10.69166667,21666.66667,,,,76538
2012,Sonoma ,8.858333333,21808.33333,,,,106791
2012,Stanislaus ,14.90833333,36025,,,,113890
2012,Sutter ,16.79166667,7666.666667,,,,21979
2012,Tehama ,13.75,3468.333333,,,,18713
2012,Trinity ,14.69166667,780.8333333,,,,4571
2012,Tulare ,16.14166667,32525,,,,96178
2012,Tuolumne ,12.98333333,2895,,,,15638
2012,Ventura ,9.1,39533.33333,,,,130513
2012,Yolo ,10.64166667,10925,,,,42712
2012,Yuba ,15.375,4441.666667,,,,17557
2013,Alameda ,7.225,58050,,,,281304
2013,Alpine ,9.783333333,50.83333333,,,,246
2013,Amador ,10.31666667,1490,,,,9281
2013,Butte ,10.30833333,10483.33333,,,,33125
2013,Calaveras ,9.933333333,2012.5,,,,11980
2013,Colusa ,18.98333333,2136.666667,,,,4836
2013,Contra Costa ,7.508333333,40325,,,,179568
2013,Del Norte ,11.83333333,1221.666667,,,,7373
2013,El Dorado ,8.491666667,7541.666667,,,,36343
2013,Fresno ,13.25833333,58058.33333,,,,205935
2013,Glenn ,12.11666667,1571.666667,,,,7064
2013,Humboldt ,8.116666667,5116.666667,,,,40557
2013,Imperial ,25.04166667,19608.33333,,,,34873
2013,Inyo ,7.833333333,736.6666667,,,,5414
2013,Kern ,11.75833333,46216.66667,,,,176196
2013,Kings ,13.43333333,7816.666667,,,,29193
2013,Lake ,10.91666667,3190.833333,,,,20707
2013,Lassen ,10.61666667,1168.333333,,,,6786
2013,Los Angeles ,9.758333333,484558.3333,,,,2006876
2013,Madera ,12.58333333,7833.333333,,,,31438
2013,Marin ,5.175,7150,,,,43660
2013,Mariposa ,10.65833333,865,,,,4756
2013,Mendocino ,8.35,3413.333333,,,,25530
2013,Merced ,14.5,16625,,,,56424
2013,Modoc ,12.29166667,429.1666667,,,,3127
2013,Mono ,8.541666667,714.1666667,,,,3210
2013,Monterey ,10.40833333,22300,,,,76552
2013,Napa ,6.933333333,5041.666667,,,,26496
2013,Nevada ,8.108333333,3901.666667,,,,25425
2013,Orange ,6.591666667,103075,,,,495063
2013,Placer ,7.7,13583.33333,,,,68402
2013,Plumas ,13.93333333,1143.333333,,,,6566
2013,Riverside ,9.9,98691.66667,,,,429554
2013,Sacramento ,8.875,60408.33333,,,,331153
2013,San Benito ,11.09166667,3225,,,,9473
2013,San Bernardino ,9.758333333,87608.33333,,,,393640
2013,San Diego ,7.825,120800,,,,619477
2013,San Francisco ,5.45,28183.33333,,,,171504
2013,San Joaquin ,12.31666667,38550,,,,139766
2013,San Luis Obispo ,6.825,9433.333333,,,,61672
2013,San Mateo ,5.25,21991.66667,,,,109499
2013,Santa Barbara ,7.216666667,15641.66667,,,,82691
2013,Santa Clara ,6.458333333,62833.33333,,,,253984
2013,Santa Cruz ,10.275,14608.33333,,,,51503
2013,Shasta ,11.825,8900,,,,50751
2013,Sierra ,12.8,185,,,,958
2013,Siskiyou ,13.15,2404.166667,,,,15404
2013,Solano ,9.066666667,18433.33333,,,,77992
2013,Sonoma ,7.1,17766.66667,,,,107349
2013,Stanislaus ,12.95,31191.66667,,,,115068
2013,Sutter ,14.61666667,6550,,,,21599
2013,Tehama ,11.625,2915,,,,18205
2013,Trinity ,11.975,620.8333333,,,,4402
2013,Tulare ,14.35,28883.33333,,,,97751
2013,Tuolumne ,10.775,2343.333333,,,,15559
2013,Ventura ,7.866666667,34150,,,,130709
2013,Yolo ,9.008333333,9175,,,,43248
2013,Yuba ,13.15,3725,,,,18199
2014,Alameda ,5.8,47000,765301,1511787,378,279447
2014,Alpine ,8.175,41.66666667,1343,2193,0,245
2014,Amador ,8.316666667,1192.5,21047,40413,0,8991
2014,Butte ,8.65,8750,185990,370694,0,62239
2014,Calaveras ,8.016666667,1619.166667,33056,62454,0,11936
2014,Colusa ,17.475,1926.666667,8578,20334,0,4853
2014,Contra Costa ,6.158333333,33291.66667,422307,886602,867,179975
2014,Del Norte ,10.05833333,1001.666667,30321,62354,17,7284
2014,El Dorado ,6.958333333,6133.333333,82091,149347,168,36285
2014,Fresno ,11.575,50725,1148293,2723438,0,207977
2014,Glenn ,10.675,1364.166667,17991,43871,0,7061
2014,Humboldt ,6.65,4150,124512,225496,184,40483
2014,Imperial ,24.025,18791.66667,190289,481474,0,33955
2014,Inyo ,6.825,629.1666667,12745,25656,839,5544
2014,Kern ,10.4,40825,740117,1775690,0,176715
2014,Kings ,11.91666667,6858.333333,122048,287596,0,28811
2014,Lake ,8.95,2619.166667,66050,132174,90,20985
2014,Lassen ,9.1,985,18504,38264,4779,6688
2014,Los Angeles ,8.258333333,412291.6667,6974042,14227322,1034,2010491
2014,Madera ,11.19166667,6933.333333,138286,346021,0,31445
2014,Marin ,4.266666667,5908.333333,74120,123692,0,43381
2014,Mariposa ,8.883333333,710.8333333,12325,24201,0,4851
2014,Mendocino ,6.991666667,2824.166667,89062,165393,544,25469
2014,Merced ,12.84166667,14658.33333,289315,686257,0,56791
2014,Modoc ,10.28333333,344.1666667,5549,12061,128,3024
2014,Mono ,7.058333333,581.6666667,6326,10272,0,3151
2014,Monterey ,9.125,19666.66667,265347,600953,0,76938
2014,Napa ,5.675,4150,42040,87609,1730,26129
2014,Nevada ,6.533333333,3135,49983,92672,118,25445
2014,Orange ,5.483333333,86066.66667,1401353,3103236,0,495098
2014,Placer ,6.258333333,10983.33333,110618,222418,428,68143
2014,Plumas ,11.61666667,934.1666667,11640,22744,0,6058
2014,Riverside ,8.191666667,82858.33333,1490401,3483263,360,433184
2014,Sacramento ,7.308333333,49575,1212937,2610112,0,329652
2014,San Benito ,9.333333333,2716.666667,32569,74378,423,9534
2014,San Bernardino ,8,72450,2066176,4701526,3192,395897
2014,San Diego ,6.416666667,98966.66667,1610569,3406645,2236,615761
2014,San Francisco ,4.358333333,23108.33333,394683,627502,937,168934
2014,San Joaquin ,10.51666667,32866.66667,600718,1411927,0,141485
2014,San Luis Obispo ,5.575,7816.666667,114907,217286,0,61138
2014,San Mateo ,4.233333333,18000,192124,386685,0,107136
2014,Santa Barbara ,6.125,13291.66667,191903,423565,377,82028
2014,Santa Clara ,5.15,51000,658586,1359042,0,251321
2014,Santa Cruz ,8.758333333,12441.66667,150015,288898,134,51736
2014,Shasta ,9.6,7200,150778,294381,0,50859
2014,Sierra ,10.06666667,142.5,2008,3606,2969,907
2014,Siskiyou ,11.11666667,1995,38286,83361,8,15503
2014,Solano ,7.508333333,15266.66667,265614,520902,74,77981
2014,Sonoma ,5.6,14350,231572,422724,57,107047
2014,Stanislaus ,11.175,26875,510651,1106465,99,115865
2014,Sutter ,12.65,5583.333333,66904,155735,848,21376
2014,Tehama ,9.625,2411.666667,58345,129374,0,17950
2014,Trinity ,9.491666667,486.6666667,11570,21449,0,4224
2014,Tulare ,13.125,26016.66667,610392,1513321,60,98386
2014,Tuolumne ,8.65,1867.5,35973,66027,0,15812
2014,Ventura ,6.65,28558.33333,420761,890342,385,129493
2014,Yolo ,7.508333333,7691.666667,107208,223487,10,43601
2014,Yuba ,11.19166667,3125,71719,159759,152,18347
2015,Alameda ,4.741666667,38850,742872,1449805,2126,277375
2015,Alpine ,7.383333333,40.83333333,1206,2012,0,258
2015,Amador ,6.608333333,945,21385,40759,135,8929
2015,Butte ,7.183333333,7233.333333,198734,383738,0,61954
2015,Calaveras ,6.366666667,1310.833333,34836,65196,0,11568
2015,Colusa ,15.5,1700,7963,18576,0,4870
